#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
115,Iceland,209906,0,229,0,0,0,0,0,607731,663,1996384,5780036,345393,0,2,1508,0,0,0,387941
116,Kyrgyzstan,206897,0,2991,0,196406,0,7500,131,30750,445,1907195,283460,6728271,0,33,2250,4,0,0,1115
117,Guadeloupe,203235,0,1021,0,0,0,0,0,508349,2554,938039,2346306,399794,0,2,392,0,0,0,500168
118,El Salvador,201855,0,4230,0,179410,0,18215,0,30816,646,2610114,398467,6550389,0,32,1549,3,0,0,2781
119,Trinidad and Tobago,191496,0,4390,0,187078,0,28,0,136143,3121,913289,649295,1406585,0,7,320,2,0,0,20
120,Maldives,186694,0,316,0,163687,0,22691,25,345100,584,2213831,4092223,540985,0,3,1712,0,0,0,41944
121,Namibia,172389,0,4106,0,167099,0,1184,0,65451,1559,1062663,403460,2633874,0,15,641,2,0,0,450
122,Uganda,172149,0,3632,0,100431,0,68086,0,3554,75,3012408,62198,48432863,0,281,13335,16,0,0,1406
123,Ghana,171889,0,1462,0,170425,0,2,0,5306,45,2541625,78456,32395450,0,188,22158,13,0,0,0
124,Jamaica,156869,0,3756,0,0,0,0,0,52551,1258,1183986,396633,2985094,0,19,795,3,0,0,16712
125,Cambodia,139103,0,3056,0,136044,0,3,0,8102,178,3091420,180062,17168639,0,123,5618,6,0,0,0
126,Rwanda,133518,0,1468,0,132039,0,11,0,9817,108,6021981,442778,13600464,0,102,9265,2,0,0,0
127,Cameroon,125379,0,1974,0,123280,0,125,0,4492,71,1751774,62762,27911548,0,223,14140,16,0,0,4
128,Malta,121420,0,885,0,120149,0,386,0,273448,1993,2170600,4888375,444033,0,4,502,0,0,0,869
129,Barbados,110578,0,648,0,108647,0,1283,0,383921,2250,814159,2826715,288023,0,3,444,0,0,0,4455
130,Angola,107327,0,1937,0,103419,0,1971,0,3064,55,1499795,42818,35027343,0,326,18083,23,0,0,56
